user_id,group_name,activity
2601,Черный список Питер | Санкт-Петербург,Городское сообщество
2601,Торги по банкротству | Блог Алены Лушниковой,Бизнес
2601,78 | НОВОСТИ,Интернет-СМИ
2601,ВЕСТНИК РФ 24/7,Политика
2601,Петербург | Ретроспектива,Городское сообщество
2601,Электронный брокер| agent.broker.site,"Консалтинг, бизнес-услуги"
2601,DarkWeb,Программирование
2601,Новый Петербург,Городское сообщество
2601,Аренда коттеджа в СПб у озера - Домик в Разливе,Гостиница
2601,CITYCAR: детейлинг студия в СПб,Услуги для автовладельцев
2601,Московский район - Санкт-Петербург | Подслушано,Городское сообщество
2601,MirFactov - все самое интересное!,Блог
2601,Торги России - единый агрегатор торгов,"Консалтинг, бизнес-услуги"
2601,Бизнес на дебиторке Блог Александра Татаренко,Бизнес
2601,ДТП и ЧП | Санкт-Петербург | Питер Онлайн | СПб,Интернет-СМИ
2601,Санкт-Петербург (Питер) Live,Городское сообщество
2601,ЗШ,Юмор
2601,Питер Решает,Городское сообщество
2601,Лентач,Интернет-СМИ
2601,Бизнес цитатник | психология и саморазвитие,Бизнес
3332,Церебро Таргет | продвижение и реклама бизнеса,Приложение
3332,Дизайнер интерьера Санкт-Петербург SHEYN DESIGN,Дизайнер
3332,Мой Бизнес | Великий Новгород 53,Государственная организация
3332,Точка доступа к трафику,Реклама
3332,Группа компаний РОСТ,"Продукты питания, напитки"
3332,Ольга Малащенко,Комик
3332,ART,Творчество
3332,Главред,Производство контента
3332,Русский маркетинг,Дискуссионный клуб
3332,Loom by Rodina — дизайнерская одежда,"Одежда, обувь"
3332,Театрально-концертное агентство|Великий Новгород,Культурный центр
3332,Артемий Лебедев,Дом культуры
3332,Шамиль Ахмадуллин,Писатель
3332,Поезд Деда Мороза,"Туризм, путешествия"
3332,Татьяна Демьяненко,Здоровый образ жизни
3332,Игорь Манн,Предприниматель
3332,Kolmovo Fitness на Шелонской,Фитнес
3332,Семейный психолог | КПТ терапевт для взрослых,Психология
3332,ФУДБЛОГЕР Саня Житлухина,"Кулинария, рецепты"
3332,"Пространство для праздника, клуб Loft Z",Организация праздников
4930,Лентач,Интернет-СМИ
4930,Портфель Генштаба,Военное дело
4930,Мир Танков(Lesta Games),Видеоигры
4930,Подслушано – Здесь говорят о тебе,Юмор
4930,Мемы для взрослых,Юмор
4930,Cat_Cat,Образование
4930,Лурк,Юмор
4930,WIN95.EXE™,Видеоигры
4930,Весёлый Социопат,Юмор
4930,Всратый Капитализм,Финансы
4930,Современный театр,Культура
4930,GUNX I Оружейная барахолка l Новости,Охота и рыбалка
4930,Эмир Радригес | Рассказы,Книга
4930,Машина времени,История
4930,Погибшие корабли,История
4930,Chumo-shop,Фан-сообщество
4930,Русский Арсенал,Другие хобби
4930,За рулем | Официальное сообщество,Автомобили
4930,Азохнвей! Мы делаем вам ВЕСЕЛО!( и не только...),Юмор
4930,Литературная газета,Журналист
5190,Барахолка настольных игр || БНИ,Настольные игры
5190,Skyeng,Школа
5190,Скидки на настольные игры | Агрегатор BGS,Настольные игры
5190,ИвН News,Настольные игры
5190,Играем в Настолки,Игры
5190,Церебро Таргет | продвижение и реклама бизнеса,Приложение
5190,GameBoxAdvanced. Игронайзеры для настольных игр,Настольные игры
5190,FirePlace | Hearthstone,Игры
5190,O_Workshop - аксессуары для настольных игр,Другие товары
5190,Midjourney — арты от нейросети,Творчество
5190,Тайна Перевала Дятлова и загадка мертвой горы,"Туризм, путешествия"
5190,GameFit - Органайзеры для настольных игр,Настольные игры
5190,"PMCLUB — про проекты, продукты и людей","Консалтинг, бизнес-услуги"
5190,Путевка! Распродажа туров,Туристическое агентство
5190,TargetHunter,Приложение
5190,SMM-специалист Евгений Перетятько,Реклама
5190,Барахолка настольных игр | GEEK MARKET | БНИ,Настольные игры
5190,ВКонтакте для бизнеса,Реклама
5190,Точка доступа к маркетингу,Бизнес
5190,Поиск дешевых авиабилетов,Сайты
6158,Путешествие: пункт назначения - мир,"Туризм, путешествия"
6158,electrotravelling,Активный отдых
6158,Дальняк.рф™,"Туризм, путешествия"
6158,Посетить все страны мира по цене однушки,"Туризм, путешествия"
6158,Бесконечная Дорога к Мечте!,"Туризм, путешествия"
6158,"Пластми | Лепка скульптур, фигурок и миниатюр",Творчество
6158,MOTO TOURS,Информационный портал
6158,DanceBike - МотоЭкип Б/У,Мотоциклы и другая мототехника
6158,Мотошкола Мотавр,Мотоциклы и другая мототехника
6158,Кругосветка за 2 зарплаты. Waking Travel,"Туризм, путешествия"
6158,Danko Cosplay,Творчество
6158,"""MONSTERskaya"". Блог о монстрах и спецэффектах",Кино
6158,"Legenti Jewellery | Украшения из титана, кольца","Украшения, бижутерия "
6158,Берестова Катя,Фотограф
6158,"Кастом, от Электровелосипеда до байка!",Мототехника
6158,Sergunya DS,Художник
