likes,comments,views,reposts,text,date,time,attachments
121,5,15559,39,"❗ Добавлены два новых апскейлера — 2х и 4х. ❗

Теперь есть кнопки апскейла [Upscale (2x)] и [Upscale (4x)] под любой генерацией V5 или Niji (после нажатия U1/U2/U3/U4).
Можно использовать апскейл на старых генерациях, используя команду /show jobid.
Апскейлер работает очень точно и старается сохранить детали как можно ближе к исходному изображению (но не может устранить его косяки).
4-кратный апскейлер требует примерно в 3 раза больше минут работы GPU, чем 2-кратный.

❗Обратите внимание: оба апскейлера пока работают только в режиме fast.

Известные проблемы:
Изредка может получаться чёрное или повреждённое изображение при 4-кратном увеличении. Размытое изображение низкого разрешения не будет сделано более чётким при увеличении, также изображения могут быть слегка затемнены в результате работы апскейлеров.

В качестве примера исходная генерация (1024*1024) и два кропа из 4-кратного апскейла.",1697684946,2023-10-19 06:09:06,3
15,0,1416,1,Кот и котенок,1704045900,2023-12-31 21:05:00,1
20,1,1757,6,"Персонажи ""Гриффинов"" как иконы Викторианской эпохи ...",1704035100,2023-12-31 18:05:00,6
35,0,2901,18,Хомяк на сёрфе,1704024300,2023-12-31 15:05:00,3
10,4,1474,1,Лохнесское чудовище,1704013500,2023-12-31 12:05:00,1
45,1,2951,13,Коллекция имени человека-паука,1704002700,2023-12-31 09:05:00,5
26,4,2318,3,Когда принцессы уже выросли ...,1703981100,2023-12-31 03:05:00,4
35,6,2509,6,Дракон на защите замка,1703959500,2023-12-30 21:05:00,1
23,0,1631,2,,1703948700,2023-12-30 18:05:00,3
11,0,1460,0,Животные в тренажерном зале,1703937900,2023-12-30 15:05:00,4
15,0,1710,2,Рентген Человека-паука,1703927100,2023-12-30 12:05:00,1
14,0,1522,1,Росомаха и Дэдпул загорают на пляже,1703916300,2023-12-30 09:05:00,2
26,0,1371,1,Деревья на марсе,1703905500,2023-12-30 06:05:00,1
106,15,5540,34,Бабушка топит печь,1703894700,2023-12-30 03:05:00,1
10,0,1366,1,Тематический парк имени Стивена Кинга,1703873100,2023-12-29 21:05:00,4
5,0,1385,1,АстронавтыА,1703862300,2023-12-29 18:05:00,2
16,0,1404,1,Круэлла,1703851500,2023-12-29 15:05:00,1
12,0,1436,1,Барби в деревне,1703840700,2023-12-29 12:05:00,4
12,0,1183,0,Тайное общество,1703829900,2023-12-29 09:05:00,3
13,0,1268,0,Город эльфов в стиле Толкина,1703819100,2023-12-29 06:05:00,3
32,1,3485,3,Веном если бы его снимали в 2000 году,1703808300,2023-12-29 03:05:00,4
11,1,1279,3,Эксклюзивные изделия геймпад и консоль,1703786700,2023-12-28 21:05:00,3
6,2,1087,1,Желтый далматинец,1703775900,2023-12-28 18:05:00,1
17,1,1627,7,крошечная такса на рисе,1703765100,2023-12-28 15:05:00,1
6,0,1207,0,"Бэтмен и его противники, если бы они оказались в фильме ужасов реж. Джеймс Ван",1703754300,2023-12-28 12:05:00,4
40,0,2491,13,Кинозлодеи как картины в стиле Барокко,1703743500,2023-12-28 09:05:00,4
15,0,1336,0,Дорога,1703732700,2023-12-28 06:05:00,1
18,0,1810,0,Аниме в стиле 1990-х годов,1703721900,2023-12-28 03:05:00,1
13,0,1905,3,🎮 Энтузиаст представил героев «Игры престолов» в мире GTA,1703700300,2023-12-27 21:05:00,4
17,1,2022,11,Имперские зомби коты,1703689500,2023-12-27 18:05:00,3
24,1,1788,3,Анубис,1703682300,2023-12-27 16:05:00,1
19,0,1516,3,Панда в китайской деревне,1703678700,2023-12-27 15:05:00,1
15,0,1449,1,Изба в жутком лесу,1703667900,2023-12-27 12:05:00,1
10,0,1221,1,Последний день каникул,1703657100,2023-12-27 09:05:00,1
13,0,1352,0,Терминатор как мультфильм от «Pixar»,1703646300,2023-12-27 06:05:00,4
15,1,1589,3,Техно-зомби,1703635500,2023-12-27 03:05:00,3
13,0,1307,1,Девушка сгенерированная компьютером,1703613900,2023-12-26 21:05:00,1
17,2,1410,4,1 сентября в разных мультипликационных стилях,1703603100,2023-12-26 18:05:00,4
18,2,2019,2,Бэтмен и женщина-кошка,1703592300,2023-12-26 15:05:00,1
28,0,1830,2,Зеркало,1703581500,2023-12-26 12:05:00,1
20,0,1397,1,Портрет мужчины акварелью,1703570700,2023-12-26 09:05:00,1
18,1,1733,4,"Звездные воины но герои стали злодеями, а злодеи героями",1703559900,2023-12-26 06:05:00,5
17,0,1563,3,Роботизированные насекомые,1703549100,2023-12-26 03:05:00,6
23,0,1786,5,"Игровые персонажи, сгенерированные с помощью нейросети.",1703527500,2023-12-25 21:05:00,5
19,2,1723,3,Суперлуние,1703516700,2023-12-25 18:05:00,1
4,3,1154,0,Пришелец,1703505900,2023-12-25 15:05:00,1
32,3,3248,8,Нейросеть нарисовала Шуфутинского в честь 3 сентября,1703495100,2023-12-25 12:05:00,1
55,0,4404,5,"Эльфы, орки, ведьмы пьют колу и едят пиццу .",1703484300,2023-12-25 09:05:00,4
14,0,1459,1,Депрессия,1703473500,2023-12-25 06:05:00,1
17,0,1485,0,Воздушное путешествие🪂,1703462700,2023-12-25 03:05:00,1
33,2,2827,8,Если бы фестиваль Burning man был на другой планете,1703441100,2023-12-24 21:05:00,5
7,0,1145,0,симпатичная девочка-коала в комбинезоне,1703430300,2023-12-24 18:05:00,1
18,0,1510,1,Персонажи РПГ,1703419500,2023-12-24 15:05:00,1
17,0,2234,5,Харли Квинн в различных стилях,1703408700,2023-12-24 12:05:00,6
16,1,1308,0,Домашние булочки,1703397900,2023-12-24 09:05:00,1
7,0,1308,2,жуткая невеста-призрак с вуалью,1703387100,2023-12-24 06:05:00,1
37,0,2133,3,Оригами краб,1703376300,2023-12-24 03:05:00,1
19,1,1759,1,"Леонардо да Винчи снимает свой первый художественный фильм ""Жизнь Моны Лизы",1703354700,2023-12-23 21:05:00,2
11,1,1375,2,Коты воины,1703343900,2023-12-23 18:05:00,4
15,0,1427,0,🎮 Нейросеть показала персонажей DC в стиле GTA,1703336700,2023-12-23 16:05:00,5
15,1,1478,4,Дух леса,1703322300,2023-12-23 12:05:00,3
18,0,1247,2,Оборотень,1703311500,2023-12-23 09:05:00,3
59,0,4618,17,Атмосфера страха и беспомощности,1703300700,2023-12-23 06:05:00,5
18,1,1539,4,🔥 Нейросеть изобразила Киану Ривза в роли Призрачного гонщика,1703289900,2023-12-23 03:05:00,4
20,0,1387,1,"Дракон, обуздавший Большую волну",1703268300,2023-12-22 21:05:00,1
6,3,1788,0,Дуэйн Джонсон в черной одежде,1703257500,2023-12-22 18:05:00,1
25,2,2174,12,Быстрое питание для богаты,1703246700,2023-12-22 15:05:00,4
32,1,2653,4,Леди в рыцарском платье,1703235900,2023-12-22 12:05:00,1
7,0,1196,1,Коты в ванной,1703225100,2023-12-22 09:05:00,2
11,0,1545,0,Магия вне Хогвартса,1703214300,2023-12-22 06:05:00,1
15,0,1446,2,Астрал как мультфильм от Pixar,1703203500,2023-12-22 03:05:00,5
18,0,1436,4,Милый огненный демон,1703181900,2023-12-21 21:05:00,1
18,0,1321,2,Внутренний ребенок,1703171100,2023-12-21 18:05:00,1
10,1,1369,1,Самурай и его любовь,1703160300,2023-12-21 15:05:00,2
10,0,1569,1,Танос,1703149500,2023-12-21 12:05:00,1
7,0,1934,2,Пересъемка фильмов .,1703138700,2023-12-21 09:05:00,3
6,0,1232,0,Ремонтники осени,1703127900,2023-12-21 06:05:00,1
22,0,1797,6,Вторжение северных великанов,1703117100,2023-12-21 03:05:00,3
25,0,1677,4,Иллюстрация в стиле Бари Филлипса,1703095500,2023-12-20 21:05:00,1
12,1,1214,2,Лягушонок Пепе как предпринимательский визионер,1703084700,2023-12-20 18:05:00,1
11,2,1630,2,Гавайский гитарист Хью Джекман,1703073900,2023-12-20 15:05:00,1
11,2,1318,1,Великая Китайская стена,1703063100,2023-12-20 12:05:00,1
13,0,1299,0,Вампир,1703052300,2023-12-20 09:05:00,1
35,6,3273,17,"Нейросеть попросили изобразить неуловимую ""Чупакабру""",1703041500,2023-12-20 06:05:00,1
57,0,4377,13,Персонажи в хоррор стиле,1703030700,2023-12-20 03:05:00,5
36,1,2324,2,Чудовище скрывающиеся в тумане,1703009100,2023-12-19 21:05:00,1
9,1,1245,0,Уютные спальни,1702998300,2023-12-19 18:05:00,3
8,0,1208,6,Нейросеть рисует вкусняшки,1702987500,2023-12-19 15:05:00,6
46,3,1827,12,Котенок-дракон,1702976700,2023-12-19 12:05:00,1
55,1,4153,12,"""8-битные"" платья",1702965900,2023-12-19 09:05:00,4
28,0,1877,1,Тигр воин,1702955100,2023-12-19 06:05:00,1
16,0,1236,0,Осенний день,1702944300,2023-12-19 03:05:00,1
27,0,1804,0,Профессор Снейп,1702922700,2023-12-18 21:05:00,1
26,0,1580,2,Лунный свет,1702911900,2023-12-18 18:05:00,1
10,0,1099,0,Мистер и Миссис Клаус,1702901100,2023-12-18 15:05:00,1
27,0,1823,3,Расцветая посреди пустыни,1702890300,2023-12-18 12:05:00,1
18,0,1258,2,Мышонок виолончелист,1702879500,2023-12-18 09:05:00,1
17,0,1157,3,Вселенная в бутылке,1702868700,2023-12-18 06:05:00,1
9,0,1281,0,Девушка - искусственный интеллект,1702857900,2023-12-18 03:05:00,1
17,0,1216,0,Осень,1702836300,2023-12-17 21:05:00,1
7,0,1309,0,Четырехглавый цербер,1702825500,2023-12-17 18:05:00,1
14,0,1683,3,"Призрак, ищущий выход",1702814700,2023-12-17 15:05:00,1
14,1,1371,4,Девушка с медведем,1702803900,2023-12-17 12:05:00,1
21,2,2084,0,"Супергерл, проиллюстрированная Борисом Вальехо",1702793100,2023-12-17 09:05:00,1
22,0,1362,1,Кот-геймер,1702782300,2023-12-17 06:05:00,1
24,0,1578,2,Модный мандалорец,1702771500,2023-12-17 03:05:00,1
8,2,1342,0,Воздушный шар в форме Рика Санчеса,1702749900,2023-12-16 21:05:00,1
29,1,1682,2,Собор в Чехии,1702739100,2023-12-16 18:05:00,1
13,0,1188,1,Фермер и аист,1702728300,2023-12-16 15:05:00,1
23,2,1532,2,Тайная вечеря в разных вселенных,1702717500,2023-12-16 12:05:00,3
40,1,2288,1,Осенний кемпинг,1702706700,2023-12-16 09:05:00,1
14,0,1484,2,Как нейросеть видит Хэллоуин,1702695900,2023-12-16 06:05:00,3
14,0,1174,0,Киберхалк,1702685100,2023-12-16 03:05:00,1
46,0,1839,4,Маленький болотный монстр,1702663500,2023-12-15 21:05:00,1
33,3,2405,4,Задолбавшийся Наполеон,1702652700,2023-12-15 18:05:00,1
15,0,1198,2,лев стоит на вершине горы,1702641900,2023-12-15 15:05:00,1
